Price,Area,Location,No. of Bedrooms,Location_Encoded
18000000,704,Goregaon West,2,23283708.065473303
3700000,300,Andheri East,1,17894966.774751816
3400000,300,Andheri East,1,17894966.774751816
7500000,495,Malad West,1,14215638.559645081
6850000,1050,Ulwe,2,7761683.373041518
4000000,650,Ulwe,1,7761683.373041518
3000000,550,Ulwe,1,7761683.373041518
4550000,650,Ulwe,1,7761683.373041518
3990000,650,Ulwe,1,7761683.373041518
4000000,650,Ulwe,1,7761683.373041518
4225000,650,Ulwe,1,7761683.373041518
4140999,650,Ulwe,1,7761683.373041518
4000000,650,Ulwe,1,7761683.373041518
6500000,525,Malad West,1,14215638.559645081
16100000,675,Borivali West,2,15910647.594565125
9800000,540,Mira Road East,2,8224102.533333333
7700000,1110,Kamothe,2,8238430.088778924
27500000,1000,Prabhadevi,2,22317242.539898776
110000000,3000,Andheri West,4,41255880.9696951
7209999,900,Mira Road East,2,8224102.533333333
5637000,650,Mira Road East,1,8224102.533333333
13200000,1500,Mira Road East,3,8224102.533333333
9450000,1080,Mira Road East,2,8224102.533333333
5150000,720,Mira Road East,1,8224102.533333333
6500000,450,Kharodi,1,14028053.169288723
27900000,1086,Wadala,3,25458196.886413716
18900000,925,Wadala,2,25458196.886413716
13899999,505,Wadala,1,25458196.886413716
31800000,1046,Ghatkopar West,3,19041613.901327305
46200000,1507,Ghatkopar West,4,19041613.901327305
10800000,1260,Thane West,2,12008191.358851675
10700000,1240,Thane West,2,12008191.358851675
10600000,1230,Thane West,2,12008191.358851675
16500000,646,Borivali West,2,15910647.594565125
27500000,1056,Borivali West,3,15910647.594565125
22000000,858,Borivali East,2,17360205.10204722
31300000,1043,Borivali East,3,17360205.10204722
8920000,749,Thane West,1,12008191.358851675
7320000,746,Thane West,1,12008191.358851675
13100000,1140,Thane West,2,12008191.358851675
13100000,1140,Thane West,2,12008191.358851675
21700000,707,Andheri West,2,41255880.9696951
27799999,944,Andheri West,3,41255880.9696951
13899999,614,Kandivali East,2,19942455.57008331
52100000,1104,Juhu,3,58276960.52177489
14300000,686,Ghatkopar West,2,19041613.901327305
24600000,1182,Ghatkopar West,3,19041613.901327305
34800000,750,Ville Parle West,2,20998329.30867207
36500000,1620,Wadala,3,25458196.886413716
2150000,655,Badlapur East,1,4463040.77249398
2250000,655,Badlapur East,1,4463040.77249398
2400000,700,Badlapur West,1,12223273.868472777
3100000,920,Badlapur East,2,4463040.77249398
2399000,700,Badlapur East,1,4463040.77249398
2000000,610,Vangani,1,12986376.62981498
2190000,655,Badlapur East,1,4463040.77249398
3200000,820,Badlapur East,2,4463040.77249398
3600000,910,Ambernath West,2,10457855.648712488
2450000,550,Ambernath West,1,10457855.648712488
3100000,920,Badlapur East,2,4463040.77249398
2650000,650,Badlapur West,1,12223273.868472777
9800000,1170,Mira Road East,2,8224102.533333333
8600000,1026,Mira Road East,2,8224102.533333333
11399999,1341,Mira Road East,3,8224102.533333333
5700000,710,Mira Road East,1,8224102.533333333
7800000,1010,Mira Road East,2,8224102.533333333
6700000,775,Mira Road East,1,8224102.533333333
5600000,693,Mira Road East,1,8224102.533333333
7600000,972,Mira Road East,2,8224102.533333333
10600000,1386,Mira Road East,3,8224102.533333333
5600000,788,Mira Road East,1,8224102.533333333
10400000,1365,Mira Road East,3,8224102.533333333
7700000,1046,Mira Road East,2,8224102.533333333
5300000,710,Mira Road East,1,8224102.533333333
7320000,999,Bhayandar East,2,11477190.28508956
